Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
genome,0.0264366,4.77E-11,3.23E+08,8.19E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0257006,4.64E-11,3.19E+08,8.05E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0262521,4.74E-11,3.26E+08,8.05E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0260148,4.70E-11,3.20E+08,8.13E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.026306,4.75E-11,3.21E+08,8.19E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0264104,4.77E-11,3.26E+08,8.10E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0223198,4.03E-11,3.23E+08,6.91E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0238835,4.31E-11,3.25E+08,7.35E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0264033,4.77E-11,3.21E+08,8.24E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0298718,5.39E-11,3.24E+08,9.23E-11,Lotus_corniculatus,outcrossing,perennial,medium
